site_name,location_latitude,location_longitude,heading,ec_timestamp
ship_9,42.315041,-10.048641,32.4,2024-05-03 14:06:00.000 +0530
ship_9,42.312054,-10.051213,32.9,2024-05-03 14:05:00.000 +0530
ship_9,42.307369,-10.055493,33.3,2024-05-03 14:04:00.000 +0530
ship_9,42.303848,-10.058691,33.2,2024-05-03 14:03:00.000 +0530
ship_9,42.300293,-10.061938,32.9,2024-05-03 14:02:00.000 +0530
ship_9,42.297314,-10.064586,33,2024-05-03 14:01:00.000 +0530
ship_9,42.294369,-10.067267,33.3,2024-05-03 14:00:00.000 +0530
ship_9,42.289772,-10.071521,32.8,2024-05-03 13:59:00.000 +0530
ship_9,42.286179,-10.074524,32.2,2024-05-03 13:58:00.000 +0530
ship_9,42.282646,-10.077594,32.6,2024-05-03 13:57:00.000 +0530
ship_9,42.279129,-10.080752,33.6,2024-05-03 13:56:00.000 +0530
ship_9,42.276745,-10.082824,33,2024-05-03 13:55:00.000 +0530
ship_9,42.272049,-10.087024,33.5,2024-05-03 13:54:00.000 +0530
ship_9,42.26852,-10.090206,33.8,2024-05-03 13:53:00.000 +0530
ship_9,42.265034,-10.093293,32.9,2024-05-03 13:52:00.000 +0530
ship_9,42.262619,-10.095346,32.9,2024-05-03 13:51:00.000 +0530
ship_9,42.259151,-10.098514,33.3,2024-05-03 13:50:00.000 +0530
ship_9,42.255112,-10.102115,33.2,2024-05-03 13:49:00.000 +0530
ship_9,42.251614,-10.105216,32.8,2024-05-03 13:48:00.000 +0530
ship_9,42.248089,-10.10827,32.8,2024-05-03 13:47:00.000 +0530
ship_9,42.244545,-10.111426,32.9,2024-05-03 13:46:00.000 +0530
ship_9,42.241608,-10.11403,33.6,2024-05-03 13:45:00.000 +0530
ship_9,42.236904,-10.118277,33,2024-05-03 13:44:00.000 +0530
ship_9,42.233334,-10.121454,32.9,2024-05-03 13:43:00.000 +0530
ship_9,42.229729,-10.124557,32.6,2024-05-03 13:42:00.000 +0530
ship_9,42.226173,-10.126671,32.3,2024-05-03 13:41:00.000 +0530
ship_9,42.223759,-10.129824,32.7,2024-05-03 13:40:00.000 +0530
ship_9,42.219013,-10.134133,33.9,2024-05-03 13:39:00.000 +0530
ship_9,42.21537,-10.137273,32.6,2024-05-03 13:38:00.000 +0530
ship_9,42.211578,-10.140069,29.3,2024-05-03 13:37:00.000 +0530
ship_9,42.208931,-10.141751,23.7,2024-05-03 13:36:00.000 +0530
ship_9,42.204929,-10.143904,19.5,2024-05-03 13:35:00.000 +0530
ship_9,42.19952,-10.146189,14.7,2024-05-03 13:34:00.000 +0530
ship_9,42.1954,-10.147402,9.9,2024-05-03 13:33:00.000 +0530
ship_9,42.191158,-10.148099,4.6,2024-05-03 13:32:00.000 +0530
ship_9,42.186951,-10.148383,359.7,2024-05-03 13:31:00.000 +0530
ship_9,42.184143,-10.148449,358,2024-05-03 13:30:00.000 +0530
ship_9,42.179974,-10.148531,358,2024-05-03 13:29:00.000 +0530
ship_9,42.175739,-10.148643,358.3,2024-05-03 13:28:00.000 +0530
ship_9,42.17086,-10.148714,358.2,2024-05-03 13:27:00.000 +0530
ship_9,42.166634,-10.148811,357.9,2024-05-03 13:26:00.000 +0530
ship_9,42.162418,-10.148856,357.7,2024-05-03 13:25:00.000 +0530
ship_9,31.164043,-14.766581,16.8,2024-05-01 14:42:00.000 +0530
ship_9,31.160044,-14.768006,16.7,2024-05-01 14:41:00.000 +0530
ship_9,31.156027,-14.769542,17.1,2024-05-01 14:40:00.000 +0530
ship_9,31.152046,-14.771079,17.2,2024-05-01 14:39:00.000 +0530
ship_9,31.148024,-14.772661,17.4,2024-05-01 14:38:00.000 +0530
ship_9,31.143936,-14.774149,17.1,2024-05-01 14:37:00.000 +0530
ship_9,31.139896,-14.775587,17.1,2024-05-01 14:36:00.000 +0530
ship_9,31.135864,-14.777177,17.1,2024-05-01 14:35:00.000 +0530
ship_9,31.131832,-14.778752,17.2,2024-05-01 14:34:00.000 +0530
ship_9,31.1278,-14.780252,16.8,2024-05-01 14:33:00.000 +0530
ship_9,31.123732,-14.781709,16.8,2024-05-01 14:32:00.000 +0530
ship_9,31.119688,-14.783269,16.9,2024-05-01 14:31:00.000 +0530
ship_9,31.115665,-14.784856,17.1,2024-05-01 14:30:00.000 +0530
ship_9,31.11171,-14.786359,17.2,2024-05-01 14:29:00.000 +0530
ship_9,31.107691,-14.787868,16.9,2024-05-01 14:28:00.000 +0530
ship_9,31.103544,-14.789353,17.1,2024-05-01 14:27:00.000 +0530
ship_9,31.09956,-14.790784,17.1,2024-05-01 14:26:00.000 +0530
ship_9,31.09552,-14.792296,16.8,2024-05-01 14:25:00.000 +0530
ship_9,31.091467,-14.793761,16.9,2024-05-01 14:24:00.000 +0530
ship_9,31.087412,-14.795269,17,2024-05-01 14:23:00.000 +0530
ship_9,31.083471,-14.796756,17,2024-05-01 14:22:00.000 +0530
ship_9,31.079422,-14.798254,17,2024-05-01 14:21:00.000 +0530
ship_9,31.075361,-14.799744,17,2024-05-01 14:20:00.000 +0530
ship_9,31.071337,-14.801218,17.3,2024-05-01 14:19:00.000 +0530
ship_9,31.067331,-14.802648,17.2,2024-05-01 14:18:00.000 +0530
ship_9,31.063387,-14.80415,17,2024-05-01 14:17:00.000 +0530
ship_9,31.059431,-14.805576,16.7,2024-05-01 14:16:00.000 +0530
ship_9,31.05542,-14.806976,16.5,2024-05-01 14:15:00.000 +0530
ship_9,31.051395,-14.808488,17.2,2024-05-01 14:14:00.000 +0530
ship_9,31.047344,-14.80999,17.1,2024-05-01 14:13:00.000 +0530
ship_9,31.043486,-14.811486,17.2,2024-05-01 14:12:00.000 +0530
ship_9,31.03964,-14.812973,17.2,2024-05-01 14:11:00.000 +0530
ship_9,31.035648,-14.814381,17.1,2024-05-01 14:10:00.000 +0530
ship_9,31.0317,-14.81588,16.6,2024-05-01 14:09:00.000 +0530
ship_9,31.027702,-14.817329,16.8,2024-05-01 14:08:00.000 +0530
ship_9,31.023581,-14.818777,16.9,2024-05-01 14:07:00.000 +0530
ship_9,31.019636,-14.820326,16.7,2024-05-01 14:06:00.000 +0530
ship_9,31.015646,-14.821849,17.3,2024-05-01 14:05:00.000 +0530
ship_9,31.011686,-14.823334,17.4,2024-05-01 14:04:00.000 +0530
ship_9,31.007776,-14.824751,17.2,2024-05-01 14:03:00.000 +0530
ship_9,31.003866,-14.826176,17,2024-05-01 14:02:00.000 +0530
ship_9,30.999905,-14.827719,17.1,2024-05-01 14:01:00.000 +0530
ship_9,30.995867,-14.829227,16.7,2024-05-01 14:00:00.000 +0530
ship_9,30.991867,-14.830661,16.6,2024-05-01 13:59:00.000 +0530
ship_9,30.9879,-14.832152,16.9,2024-05-01 13:58:00.000 +0530
ship_9,30.983927,-14.833618,17.3,2024-05-01 13:57:00.000 +0530
ship_9,30.979921,-14.835131,17.4,2024-05-01 13:56:00.000 +0530
ship_9,30.975903,-14.836576,17.1,2024-05-01 13:55:00.000 +0530
ship_9,30.971886,-14.838081,16.9,2024-05-01 13:54:00.000 +0530
ship_9,30.967932,-14.839491,17.2,2024-05-01 13:53:00.000 +0530
ship_9,30.963972,-14.840973,18,2024-05-01 13:52:00.000 +0530
ship_9,30.959932,-14.842563,18,2024-05-01 13:51:00.000 +0530
ship_9,30.956619,-14.843831,18,2024-05-01 13:50:00.000 +0530
ship_9,30.952656,-14.845308,17.8,2024-05-01 13:49:00.000 +0530
ship_9,30.94874,-14.846871,17.9,2024-05-01 13:48:00.000 +0530
ship_9,30.943516,-14.848819,18.3,2024-05-01 13:47:00.000 +0530
ship_9,30.939512,-14.850346,18,2024-05-01 13:46:00.000 +0530
